id_log,timestamp,endpoint_url,tiempo_respuesta_ms,status_code,consumo_ram_mb,uso_cpu_porcentaje
1,2026-08-17 08:00:01.102,/login,120,200,512,15.2
2,2026-08-17 08:00:02.450,/cargar_materias,3450,200,1024,85.6
3,2026-08-17 08:00:03.110,/cargar_materias,4100,504,1536,94.1
4,2026-08-17 08:00:04.005,/login,115,200,512,18.0
5,2026-08-17 08:00:05.890,/seleccionar_grupo,850,200,768,45.0
6,2026-08-17 08:00:06.120,/cargar_materias,5200,500,2048,98.5
7,2026-08-17 08:00:07.430,/confirmar_horario,420,200,600,30.1
8,2026-08-17 08:00:08.010,/cargar_materias,3800,200,1280,88.2
9,2026-08-17 08:00:09.650,/login,130,200,512,16.5
10,2026-08-17 08:00:10.220,/seleccionar_grupo,910,200,800,48.3
11,2026-08-17 08:00:11.105,/cargar_materias,4900,504,2048,97.0
12,2026-08-17 08:00:12.780,/confirmar_horario,390,200,580,28.4
13,2026-08-17 08:00:13.340,/cargar_materias,3600,200,1100,82.0
14,2026-08-17 08:00:14.900,/login,140,200,512,19.1
15,2026-08-17 08:00:15.010,/cargar_materias,4300,500,1800,92.4
